proto_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time
http,10.0.0.2,37361,10.128.0.2,80,6,0.24,471.24,1092.53,17,0.0132
http,10.0.0.2,37362,10.128.0.2,80,6,0.27,534.2,1245.07,15,0.0144
http,10.0.0.2,37363,10.128.0.2,80,6,0.27,529.67,1240.4,15,0.0136
http,10.0.0.2,37364,10.128.0.2,80,6,0.27,534.87,1245.6,15,0.0142
http,10.0.0.2,37365,10.128.0.2,80,6,0.31,604.69,1432.69,13,0.0145
http,10.0.0.2,37366,10.128.0.2,80,6,0.27,527.67,1238.53,15,0.0153
http,10.0.0.2,37367,10.128.0.2,80,6,0.31,603.15,1431.0,13,0.0158
http,10.0.0.2,37368,10.128.0.2,80,6,0.24,478.65,1099.82,17,0.016
http,10.0.0.2,37369,10.128.0.2,80,6,0.24,471.24,1092.53,17,0.0177
http,10.0.0.2,37370,10.128.0.2,80,6,0.29,570.93,1335.93,14,0.0194
http,10.0.0.2,37371,10.128.0.2,80,6,0.17,353.25,777.42,12,0.0086
http,10.0.0.2,37372,10.128.0.2,80,6,0.14,306.43,662.79,14,0.0083
http,10.0.0.2,37373,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0097
http,10.0.0.2,37374,10.128.0.2,80,6,0.17,354.5,778.67,12,0.011
http,10.0.0.2,37375,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0109
http,10.0.0.2,37376,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0121
http,10.0.0.2,37377,10.128.0.2,80,6,0.2,415.5,934.6,10,0.0115
http,10.0.0.2,37378,10.128.0.2,80,6,0.2,410.6,929.9,10,0.0126
http,10.0.0.2,37379,10.128.0.2,80,6,0.2,410.2,929.5,10,0.0129
http,10.0.0.2,37380,10.128.0.2,80,6,0.17,357.08,781.42,12,0.001
http,10.0.0.2,37381,10.128.0.2,80,6,0.2,410.2,929.5,10,0.0121
http,10.0.0.2,37382,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0116
http,10.0.0.2,37383,10.128.0.2,80,6,0.2,415.0,934.1,10,0.0127
http,10.0.0.2,37384,10.128.0.2,80,6,0.17,354.92,779.25,12,0.012
http,10.0.0.2,37385,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0134
http,10.0.0.2,37386,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0233
http,10.0.0.2,37387,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0248
http,10.0.0.2,37388,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0238
http,10.0.0.2,37389,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0263
http,10.0.0.2,37393,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0011
http,10.0.0.2,37397,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0081
http,10.0.0.2,37398,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0098
http,10.0.0.2,37399,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0085
http,10.0.0.2,37400,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0106
http,10.0.0.2,37401,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0103
http,10.0.0.2,37402,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0117
http,10.0.0.2,37403,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0129
http,10.0.0.2,37404,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0122
http,10.0.0.2,37405,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0137
http,10.0.0.2,37409,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0012
http,10.0.0.2,37410,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0076
http,10.0.0.2,37411,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0091
http,10.0.0.2,37412,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0081
http,10.0.0.2,37413,10.128.0.2,80,6,0.17,354.5,778.67,12,0.0127
http,10.0.0.2,37414,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0105
http,10.0.0.2,37415,10.128.0.2,80,6,0.17,352.92,777.25,12,0.011
http,10.0.0.2,37416,10.128.0.2,80,6,0.14,309.93,666.43,14,0.0125
http,10.0.0.2,37417,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0115
http,10.0.0.2,37418,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0134
http,10.0.0.2,37419,10.128.0.2,80,6,0.17,355.42,779.58,12,0.0014
http,10.0.0.2,37420,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0088
http,10.0.0.2,37421,10.128.0.2,80,6,0.14,311.64,668.14,14,0.0083
http,10.0.0.2,37422,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0086
http,10.0.0.2,37423,10.128.0.2,80,6,0.14,313.07,669.57,14,0.0113
http,10.0.0.2,37424,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0104
http,10.0.0.2,37425,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0105
http,10.0.0.2,37426,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0118
http,10.0.0.2,37427,10.128.0.2,80,6,0.2,410.6,929.9,10,0.0123
http,10.0.0.2,37428,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0139
http,10.0.0.2,37429,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0012
http,10.0.0.2,37430,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0087
http,10.0.0.2,37431,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0076
http,10.0.0.2,37432,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0088
http,10.0.0.2,37433,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0094
http,10.0.0.2,37434,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0105
http,10.0.0.2,37435,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0113
http,10.0.0.2,37436,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0114
http,10.0.0.2,37437,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0133
http,10.0.0.2,37438,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0124
http,10.0.0.2,37439,10.128.0.2,80,6,0.17,355.42,779.58,12,0.0016
http,10.0.0.2,37440,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0082
http,10.0.0.2,37441,10.128.0.2,80,6,0.2,410.2,929.5,10,0.0077
http,10.0.0.2,37442,10.128.0.2,80,6,0.17,353.25,777.42,12,0.0086
http,10.0.0.2,37443,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0094
http,10.0.0.2,37444,10.128.0.2,80,6,0.2,410.2,929.5,10,0.01
http,10.0.0.2,37445,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0109
http,10.0.0.2,37446,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0112
http,10.0.0.2,37447,10.128.0.2,80,6,0.17,354.5,778.67,12,0.0117
http,10.0.0.2,37448,10.128.0.2,80,6,0.2,408.6,927.7,10,0.012
http,10.0.0.2,37452,10.128.0.2,80,6,0.17,355.42,779.58,12,0.0013
http,10.0.0.2,37455,10.128.0.2,80,6,0.17,353.25,777.42,12,0.0081
http,10.0.0.2,37456,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0077
http,10.0.0.2,37457,10.128.0.2,80,6,0.2,408.2,927.3,10,0.009
http,10.0.0.2,37458,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0109
http,10.0.0.2,37459,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0096
http,10.0.0.2,37460,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0112
http,10.0.0.2,37461,10.128.0.2,80,6,0.17,352.92,777.25,12,0.012
http,10.0.0.2,37462,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0134
http,10.0.0.2,37463,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0133
http,10.0.0.2,37464,10.128.0.2,80,6,0.17,355.42,779.58,12,0.001
http,10.0.0.2,37465,10.128.0.2,80,6,0.14,307.86,664.36,14,0.0101
http,10.0.0.2,37466,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0085
http,10.0.0.2,37467,10.128.0.2,80,6,0.17,353.25,777.42,12,0.0104
http,10.0.0.2,37468,10.128.0.2,80,6,0.17,354.92,779.08,12,0.0107
http,10.0.0.2,37469,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0122
http,10.0.0.2,37470,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0133
http,10.0.0.2,37471,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0117
http,10.0.0.2,37472,10.128.0.2,80,6,0.2,417.0,936.3,10,0.0127
http,10.0.0.2,37473,10.128.0.2,80,6,0.2,410.6,929.9,10,0.0136
http,10.0.0.2,37474,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0014
http,10.0.0.2,37475,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0115
http,10.0.0.2,37476,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0132
http,10.0.0.2,37477,10.128.0.2,80,6,0.17,353.25,777.42,12,0.012
http,10.0.0.2,37478,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0132
http,10.0.0.2,37479,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0146
http,10.0.0.2,37480,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0141
http,10.0.0.2,37481,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0148
http,10.0.0.2,37482,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0149
http,10.0.0.2,37483,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0159
http,10.0.0.2,37484,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0008
http,10.0.0.2,37486,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0089
http,10.0.0.2,37485,10.128.0.2,80,6,0.17,354.92,779.08,12,0.009
http,10.0.0.2,37488,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0122
http,10.0.0.2,37489,10.128.0.2,80,6,0.14,307.86,664.36,14,0.0102
http,10.0.0.2,37490,10.128.0.2,80,6,0.17,348.83,773.0,12,0.012
http,10.0.0.2,37491,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0106
http,10.0.0.2,37492,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0129
http,10.0.0.2,37493,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0115
http,10.0.0.2,37494,10.128.0.2,80,6,0.17,349.17,773.33,12,0.0129
http,10.0.0.2,37495,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0017
http,10.0.0.2,37497,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0092
http,10.0.0.2,37498,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0083
http,10.0.0.2,37499,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0083
http,10.0.0.2,37500,10.128.0.2,80,6,0.2,410.2,929.5,10,0.009
http,10.0.0.2,37501,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0111
http,10.0.0.2,37502,10.128.0.2,80,6,0.14,311.29,667.64,14,0.0108
http,10.0.0.2,37503,10.128.0.2,80,6,0.2,408.6,927.7,10,0.0118
http,10.0.0.2,37504,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0123
http,10.0.0.2,37505,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0123
http,10.0.0.2,37506,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0012
http,10.0.0.2,37509,10.128.0.2,80,6,0.2,411.1,930.2,10,0.01
http,10.0.0.2,37510,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0118
http,10.0.0.2,37511,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0107
http,10.0.0.2,37512,10.128.0.2,80,6,0.17,348.83,773.0,12,0.0131
http,10.0.0.2,37513,10.128.0.2,80,6,0.17,354.5,778.67,12,0.0122
http,10.0.0.2,37514,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0134
http,10.0.0.2,37515,10.128.0.2,80,6,0.17,350.83,775.17,12,0.0147
http,10.0.0.2,37516,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0155
http,10.0.0.2,37517,10.128.0.2,80,6,0.17,353.25,777.42,12,0.0166
http,10.0.0.2,37518,10.128.0.2,80,6,0.17,357.08,781.42,12,0.002
http,10.0.0.2,37519,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0085
http,10.0.0.2,37520,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0088
http,10.0.0.2,37521,10.128.0.2,80,6,0.17,354.92,779.08,12,0.0108
http,10.0.0.2,37522,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0107
http,10.0.0.2,37523,10.128.0.2,80,6,0.17,356.17,780.5,12,0.0119
http,10.0.0.2,37524,10.128.0.2,80,6,0.2,410.2,929.5,10,0.0114
http,10.0.0.2,37525,10.128.0.2,80,6,0.17,350.83,775.17,12,0.013
http,10.0.0.2,37526,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0134
http,10.0.0.2,37527,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0149
http,10.0.0.2,37528,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0007
http,10.0.0.2,37529,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0074
http,10.0.0.2,37530,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0101
http,10.0.0.2,37531,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0095
http,10.0.0.2,37532,10.128.0.2,80,6,0.17,348.83,773.0,12,0.008
http,10.0.0.2,37533,10.128.0.2,80,6,0.2,417.0,936.3,10,0.0109
http,10.0.0.2,37534,10.128.0.2,80,6,0.2,408.6,927.7,10,0.0102
http,10.0.0.2,37535,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0107
http,10.0.0.2,37536,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0117
http,10.0.0.2,37537,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0115
http,10.0.0.2,37538,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0016
http,10.0.0.2,37539,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0076
http,10.0.0.2,37540,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0085
http,10.0.0.2,37541,10.128.0.2,80,6,0.2,417.5,936.8,10,0.0085
http,10.0.0.2,37542,10.128.0.2,80,6,0.17,352.92,777.25,12,0.009
http,10.0.0.2,37543,10.128.0.2,80,6,0.2,410.6,929.9,10,0.0091
http,10.0.0.2,37544,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0105
http,10.0.0.2,37545,10.128.0.2,80,6,0.17,354.5,778.67,12,0.0114
http,10.0.0.2,37546,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0113
http,10.0.0.2,37547,10.128.0.2,80,6,0.2,415.5,934.8,10,0.0119
http,10.0.0.2,37548,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0009
http,10.0.0.2,37550,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0091
http,10.0.0.2,37551,10.128.0.2,80,6,0.17,348.83,773.0,12,0.008
http,10.0.0.2,37552,10.128.0.2,80,6,0.17,356.58,780.92,12,0.0094
http,10.0.0.2,37553,10.128.0.2,80,6,0.17,349.17,773.33,12,0.0109
http,10.0.0.2,37554,10.128.0.2,80,6,0.14,308.5,664.86,14,0.011
http,10.0.0.2,37555,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0124
http,10.0.0.2,37556,10.128.0.2,80,6,0.17,354.5,778.67,12,0.012
http,10.0.0.2,37557,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0131
http,10.0.0.2,37558,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0138
http,10.0.0.2,37559,10.128.0.2,80,6,0.2,418.1,937.4,10,0.0005
http,10.0.0.2,37561,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0086
http,10.0.0.2,37562,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0082
http,10.0.0.2,37563,10.128.0.2,80,6,0.2,413.1,932.4,10,0.0096
http,10.0.0.2,37564,10.128.0.2,80,6,0.17,354.92,779.08,12,0.011
http,10.0.0.2,37565,10.128.0.2,80,6,0.2,408.6,927.7,10,0.0126
http,10.0.0.2,37566,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0114
http,10.0.0.2,37567,10.128.0.2,80,6,0.14,312.71,669.21,14,0.0111
http,10.0.0.2,37568,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0139
http,10.0.0.2,37569,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0149
http,10.0.0.2,37571,10.128.0.2,80,6,0.14,313.5,670.0,14,0.0014
http,10.0.0.2,37572,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0112
http,10.0.0.2,37573,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0085
http,10.0.0.2,37574,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0076
http,10.0.0.2,37575,10.128.0.2,80,6,0.17,354.92,779.08,12,0.01
http,10.0.0.2,37576,10.128.0.2,80,6,0.17,350.5,774.83,12,0.012
http,10.0.0.2,37577,10.128.0.2,80,6,0.2,417.0,936.3,10,0.0107
http,10.0.0.2,37578,10.128.0.2,80,6,0.2,410.6,929.9,10,0.0085
http,10.0.0.2,37579,10.128.0.2,80,6,0.17,354.92,779.25,12,0.0097
http,10.0.0.2,37580,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0119
http,10.0.0.2,37581,10.128.0.2,80,6,0.17,357.08,781.42,12,0.0008
http,10.0.0.2,37582,10.128.0.2,80,6,0.17,351.25,775.42,12,0.0082
http,10.0.0.2,37583,10.128.0.2,80,6,0.17,350.5,774.83,12,0.0087
http,10.0.0.2,37584,10.128.0.2,80,6,0.17,349.17,773.33,12,0.0084
http,10.0.0.2,37585,10.128.0.2,80,6,0.2,415.5,934.6,10,0.0104
http,10.0.0.2,37586,10.128.0.2,80,6,0.14,310.21,666.57,14,0.0104
http,10.0.0.2,37587,10.128.0.2,80,6,0.2,408.2,927.3,10,0.0104
http,10.0.0.2,37588,10.128.0.2,80,6,0.2,417.0,936.3,10,0.0113
http,10.0.0.2,37589,10.128.0.2,80,6,0.2,411.1,930.2,10,0.0108
http,10.0.0.2,37590,10.128.0.2,80,6,0.17,352.92,777.25,12,0.0124
